Name,# Times Tag is Used,# of Events,# of List Items,# of Projects,# of Shopping Items,# of Tasks,Events (Calendar),List Items,Projects,Shopping,Tasks,Total Costs
Archived,0,,,,,,,,,,,
Call,2,,,,,2,,,,,"Task 1 (%5BEx%5D%20Tagged%20Task%20Table%2054e50ac074354def9d5483be58b9c3a9/Task%201%20f46eb17f3d17452ca64600bf09bb813b.csv), Task 2 (%5BEx%5D%20Tagged%20Task%20Table%2054e50ac074354def9d5483be58b9c3a9/Task%202%20ef02b07d57164dbca49dbfd153d8aadf.csv)",
Family,3,3,,,,,"Thanksgiving (%5BEx%5D%20Tagged%20Calendar%203ec7be62ed0e44aca988ad6298e4b8f6/Thanksgiving%208edfcda50ba547709d2756075e543dd5.csv), Fourth of July (%5BEx%5D%20Tagged%20Calendar%203ec7be62ed0e44aca988ad6298e4b8f6/Fourth%20of%20July%20b78c2658eae0485c8249e8b48d8d11a4.csv), Fourth of July (%5BEx%5D%20Tagged%20Calendar%203ec7be62ed0e44aca988ad6298e4b8f6/Fourth%20of%20July%20d1ceca46b224471282a4ef308710bd25.csv)",,,,,
Fun,9,9,,,,,"Vacation (%5BEx%5D%20Tagged%20Calendar%203ec7be62ed0e44aca988ad6298e4b8f6/Vacation%2063014ea030da49f1adf36e887bba6eb8.csv), Labor Day Weekend (%5BEx%5D%20Tagged%20Calendar%203ec7be62ed0e44aca988ad6298e4b8f6/Labor%20Day%20Weekend%2016191b3e6b39476ab76456fe1e1c19bb.csv), Fourth of July (%5BEx%5D%20Tagged%20Calendar%203ec7be62ed0e44aca988ad6298e4b8f6/Fourth%20of%20July%20b78c2658eae0485c8249e8b48d8d11a4.csv), Halloween (%5BEx%5D%20Tagged%20Calendar%203ec7be62ed0e44aca988ad6298e4b8f6/Halloween%2003256a26606c4940bb6807bb2a4648b2.csv), New Years Day (%5BEx%5D%20Tagged%20Calendar%203ec7be62ed0e44aca988ad6298e4b8f6/New%20Years%20Day%201080c1ea7b9047dba74b73f0c199b384.csv), Halloween (%5BEx%5D%20Tagged%20Calendar%203ec7be62ed0e44aca988ad6298e4b8f6/Halloween%20e0dc725e8d79467f946eb8b14496a7b0.csv), Labor Day Weekend (%5BEx%5D%20Tagged%20Calendar%203ec7be62ed0e44aca988ad6298e4b8f6/Labor%20Day%20Weekend%2027c25a8634a443bb9c0962afdd7f92d8.csv), Vacation (%5BEx%5D%20Tagged%20Calendar%203ec7be62ed0e44aca988ad6298e4b8f6/Vacation%2076f38f57aeab4f58acf6e68cd0062809.csv), Fourth of July (%5BEx%5D%20Tagged%20Calendar%203ec7be62ed0e44aca988ad6298e4b8f6/Fourth%20of%20July%20d1ceca46b224471282a4ef308710bd25.csv)",,,,,
Home,3,2,,,1,,"Christmas (%5BEx%5D%20Tagged%20Calendar%203ec7be62ed0e44aca988ad6298e4b8f6/Christmas%20b809f3565e204cd49c061db60c238855.csv), New Years Day (%5BEx%5D%20Tagged%20Calendar%203ec7be62ed0e44aca988ad6298e4b8f6/New%20Years%20Day%201080c1ea7b9047dba74b73f0c199b384.csv)",,,Paper Towels (%5BEx%5D%20Tagged%20Shopping%20List%20d5a0acb0db934f68a32128e088d63dc3/Paper%20Towels%20df45605d181440f68797975328b908e2.csv),,10
Idea,3,,1,1,,1,,Use Example 1 (%5BEX%5D%20Tagged%20List%20aa4ce1b6eb994ed1baebb5f697cbe5fc/Use%20Example%201%200768024637194a83a033ff3901bf77e2.csv),Project 1 (%5BEx%5D%20Tagged%20Project%20Database%20d680b9ba91d245f6bea815c3252a29d1/Project%201%2007db6181dc2d45a9a7a0e38c86457cee.csv),,Task 3 (%5BEx%5D%20Tagged%20Task%20Table%2054e50ac074354def9d5483be58b9c3a9/Task%203%207d965dc2b87f4887a0b69e042065e745.csv),
Important,13,8,2,1,1,1,"Doctor's Appointment (%5BEx%5D%20Tagged%20Calendar%203ec7be62ed0e44aca988ad6298e4b8f6/Doctor's%20Appointment%20e8164250eaef4249821963f2eb781096.csv), Thanksgiving (%5BEx%5D%20Tagged%20Calendar%203ec7be62ed0e44aca988ad6298e4b8f6/Thanksgiving%208edfcda50ba547709d2756075e543dd5.csv), Summer Solstice (%5BEx%5D%20Tagged%20Calendar%203ec7be62ed0e44aca988ad6298e4b8f6/Summer%20Solstice%20daf37699ca634e8c97143d5ee1716ad8.csv), Fourth of July (%5BEx%5D%20Tagged%20Calendar%203ec7be62ed0e44aca988ad6298e4b8f6/Fourth%20of%20July%20b78c2658eae0485c8249e8b48d8d11a4.csv), Christmas (%5BEx%5D%20Tagged%20Calendar%203ec7be62ed0e44aca988ad6298e4b8f6/Christmas%20b809f3565e204cd49c061db60c238855.csv), Important Meeting (%5BEx%5D%20Tagged%20Calendar%203ec7be62ed0e44aca988ad6298e4b8f6/Important%20Meeting%20dd037b06fa124af79e8d7926cd0c252d.csv), Fourth of July (%5BEx%5D%20Tagged%20Calendar%203ec7be62ed0e44aca988ad6298e4b8f6/Fourth%20of%20July%20d1ceca46b224471282a4ef308710bd25.csv), Summer Solstice (%5BEx%5D%20Tagged%20Calendar%203ec7be62ed0e44aca988ad6298e4b8f6/Summer%20Solstice%20a080b66441474194af663ac71c803db5.csv)","Use Example 1 (%5BEX%5D%20Tagged%20List%20aa4ce1b6eb994ed1baebb5f697cbe5fc/Use%20Example%201%200768024637194a83a033ff3901bf77e2.csv), Use Example 2 (%5BEX%5D%20Tagged%20List%20aa4ce1b6eb994ed1baebb5f697cbe5fc/Use%20Example%202%208f3a18202fd04671adc1be26b80887ea.csv)",Project 1 (%5BEx%5D%20Tagged%20Project%20Database%20d680b9ba91d245f6bea815c3252a29d1/Project%201%2007db6181dc2d45a9a7a0e38c86457cee.csv),Dog Food (%5BEx%5D%20Tagged%20Shopping%20List%20d5a0acb0db934f68a32128e088d63dc3/Dog%20Food%20ebce00d9aa4743dfa745bca2eacc4372.csv),Task 5 (%5BEx%5D%20Tagged%20Task%20Table%2054e50ac074354def9d5483be58b9c3a9/Task%205%20f94a7d4a0e3e46598b42a00bb871d9bb.csv),30
Mail,2,,,,,2,,,,,"Task 1 (%5BEx%5D%20Tagged%20Task%20Table%2054e50ac074354def9d5483be58b9c3a9/Task%201%20f46eb17f3d17452ca64600bf09bb813b.csv), Task 6 (%5BEx%5D%20Tagged%20Task%20Table%2054e50ac074354def9d5483be58b9c3a9/Task%206%20f53cef7e612d4c90b66413fe7b27bdd5.csv)",
Medical,2,2,,,,,"Vet Appointment (%5BEx%5D%20Tagged%20Calendar%203ec7be62ed0e44aca988ad6298e4b8f6/Vet%20Appointment%20f2930acf721c42bf95858b2f24762973.csv), Vet Appointment (%5BEx%5D%20Tagged%20Calendar%203ec7be62ed0e44aca988ad6298e4b8f6/Vet%20Appointment%20b3db8e1b57e141d38ea71aac6fe55318.csv)",,,,,
Medical,1,1,,,,,Doctor's Appointment (%5BEx%5D%20Tagged%20Calendar%203ec7be62ed0e44aca988ad6298e4b8f6/Doctor's%20Appointment%20e8164250eaef4249821963f2eb781096.csv),,,,,
